Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,robust_z_score,standard_z_score,global_percentile,iqr_upper_fence,iqr_outlier,statistical_alert_level,deviation_category,statistical_explanation
134,Bihar,Dinesh Chandra Yadav,MADHEPURA,150070866.11,Bihar,Dinesh Chandra Yadav,MADHEPURA,150070866.11,False,False,False,False,False,False,100.0,False,MP_RECORD,True,150070866.11,True,18.8266,76.75276752767527,0.0,0,0.0,38.86287134006088,False,90.0,0,17.49,LOW,No strong anomaly signal detected,False,LOW,3.2304,-0.195,76.7528,150186650.9,False,HIGH,VERY_HIGH_DEVIATION,"Allocation of ₹150,070,866.11 was flagged because very high statistical deviation (robust z-score 3.23). This is an anomaly candidate requiring verification and does not by itself indicate fraud."
394,Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414,Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,153035414.0,True,18.8462,79.33579335793358,0.0,0,0.0,38.86047739967777,False,100.0,0,17.49,LOW,Data-quality validation requires review,False,LOW,6.0,-0.0035,79.3358,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹153,035,414.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
136,Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.11,Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150675889.11,True,18.8306,77.30627306273063,0.0,0,0.0,38.8413654313736,False,90.0,0,17.48,LOW,Data-quality validation requires review,False,LOW,3.8591,-0.1556,77.3063,150186650.9,True,HIGH,VERY_HIGH_DEVIATION,"Allocation of ₹150,675,889.11 was flagged because very high statistical deviation (robust z-score 3.86); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
481,Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.11,Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150724861.11,True,18.831,77.49077490774908,0.0,0,0.0,38.83838904697694,False,90.0,0,17.48,LOW,Data-quality validation requires review,False,LOW,3.9099,-0.1524,77.4908,150186650.9,True,HIGH,VERY_HIGH_DEVIATION,"Allocation of ₹150,724,861.11 was flagged because very high statistical deviation (robust z-score 3.91); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
257,Telangana,KUNDURU RAGHUVEER,NALGONDA,162952022,Telangana,KUNDURU RAGHUVEER,NALGONDA,162952022.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,162952022.0,True,18.909,86.53136531365314,0.0,0,0.0,38.824618191057816,False,100.0,0,17.47,LOW,Data-quality validation requires review,False,LOW,6.0,0.6111,86.5314,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹162,952,022.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
491,Andhra Pradesh,Sribharat MathuKumli,VISAKHAPATNAM,164841922,Andhra Pradesh,Sribharat MathuKumli,VISAKHAPATNAM,164841922.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,164841922.0,True,18.9205,88.00738007380073,0.0,0,0.0,38.79488980659798,False,100.0,0,17.46,LOW,Data-quality validation requires review,False,LOW,6.0,0.7239,88.0074,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹164,841,922.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
44,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,False,False,False,False,False,False,100.0,False,MP_RECORD,True,149570117.11,True,18.8233,76.56826568265683,0.0,0,0.0,38.79724874711528,False,75.0,0,17.46,LOW,No strong anomaly signal detected,False,LOW,2.7082,-0.2277,76.5683,150186650.9,False,MEDIUM,HIGH_DEVIATION,"Allocation of ₹149,570,117.11 was flagged because high statistical deviation (robust z-score 2.71). This is an anomaly candidate requiring verification and does not by itself indicate fraud."
124,Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.11,Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,163809205.11,True,18.9142,86.90036900369003,0.0,0,0.0,38.75102803035018,False,100.0,0,17.44,LOW,Data-quality validation requires review,False,LOW,6.0,0.6624,86.9004,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹163,809,205.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
414,Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.15,Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.15,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150850348.15,True,18.8318,77.67527675276753,0.0,0,0.0,38.678297708136434,False,100.0,0,17.41,LOW,Data-quality validation requires review,False,LOW,4.0399,-0.1443,77.6753,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹150,850,348.15 was flagged because extreme statistical deviation (robust z-score 4.04); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
132,Bihar,Dileshwar Kamait,SUPAUL,150450930.89,Bihar,Dileshwar Kamait,SUPAUL,150450930.89,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150450930.89,True,18.8291,77.12177121771218,0.0,0,0.0,38.63446602927647,False,90.0,0,17.39,LOW,Data-quality validation requires review,False,LOW,3.6256,-0.1702,77.1218,150186650.9,True,HIGH,VERY_HIGH_DEVIATION,"Allocation of ₹150,450,930.89 was flagged because very high statistical deviation (robust z-score 3.63); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
